Filter,,,,,,,
,,,,,,,
,,,Data,,,,
Archive,Object,Function,Sum - Total,Sum - Flash Code,Sum - IRAM,Sum - DIRAM,Sum - Flash Data
,,.rodata.s_vfs_null,52,0,0,0,52
,,.rodata.s_vfs_null_dir,64,0,0,0,64
,,.text.__esp_system_init_fn_init_vfs_nullfs,10,10,0,0,0
,,.text.esp_vfs_include_nullfs_register,5,5,0,0,0
,,.text.esp_vfs_null_register,20,20,0,0,0
,,.text.vfs_null_close,26,26,0,0,0
,,.text.vfs_null_fcntl,32,32,0,0,0
,,.text.vfs_null_fstat,62,62,0,0,0
,,.text.vfs_null_fsync,12,12,0,0,0
,,.text.vfs_null_ioctl,32,32,0,0,0
,,.text.vfs_null_lseek,55,55,0,0,0
,,.text.vfs_null_open,130,130,0,0,0
,,.text.vfs_null_pread,34,34,0,0,0
,,.text.vfs_null_pwrite,42,42,0,0,0
,,.text.vfs_null_read,34,34,0,0,0
,,.text.vfs_null_stat,64,64,0,0,0
,,.text.vfs_null_write,42,42,0,0,0
,vfs.c,.bss.s_fd_table_lock,4,0,0,4,0
,,.bss.s_vfs,32,0,0,32,0
,,.bss.s_vfs_count,4,0,0,4,0
,,.data.s_fd_table,192,0,0,192,0
,,.literal.esp_vfs_open,4,4,0,0,0
,,.literal.esp_vfs_register_fs_common,12,12,0,0,0
,,.literal.esp_vfs_select_triggered_isr,4,4,0,0,0
,,.literal.get_local_fd,4,4,0,0,0
,,.literal.translate_path,4,4,0,0,0
,,.text.esp_vfs_access,73,73,0,0,0
,,.text.esp_vfs_close,143,143,0,0,0
,,.text.esp_vfs_fcntl_r,83,83,0,0,0
,,.text.esp_vfs_free_fs_ops,22,22,0,0,0
,,.text.esp_vfs_fstat,80,80,0,0,0
,,.text.esp_vfs_fsync,85,85,0,0,0
,,.text.esp_vfs_link,105,105,0,0,0
,,.text.esp_vfs_lseek,83,83,0,0,0
,,.text.esp_vfs_open,212,212,0,0,0
,,.text.esp_vfs_read,83,83,0,0,0
,,.text.esp_vfs_register_fs,222,222,0,0,0
,,.text.esp_vfs_register_fs_common,203,203,0,0,0
,,.text.esp_vfs_rename,105,105,0,0,0
,,.text.esp_vfs_select_triggered,69,69,0,0,0
,,.text.esp_vfs_select_triggered_isr,67,67,0,0,0
,,.text.esp_vfs_stat,68,68,0,0,0
,,.text.esp_vfs_unlink,75,75,0,0,0
,,.text.esp_vfs_write,83,83,0,0,0
,,.text.get_local_fd,28,28,0,0,0
,,.text.get_vfs_for_fd,36,36,0,0,0
,,.text.get_vfs_for_index,28,28,0,0,0
,,.text.get_vfs_for_path,117,117,0,0,0
,,.text.translate_path,52,52,0,0,0
,,.text.vfs_include_syscalls_impl,5,5,0,0,0
libxt_hal.a,interrupts--intlevel,.rodata,32,0,0,0,32
,state_asm--restore_extra_nw,.text,47,0,0,47,0
,state_asm--save_extra_nw,.text,47,0,0,47,0
,windowspill_asm,.text,311,0,0,311,0
libxtensa.a,xtensa_context.S,.literal,4,0,4,0,0
,,.text,402,0,0,402,0
,xtensa_intr_asm.S,.data,1024,0,0,1024,0
,,.text,51,0,0,51,0
,xtensa_intr.c,.iram1.0,22,0,0,22,0
,,.iram1.0.literal,4,0,4,0,0
,,.literal.xt_int_has_handler,8,8,0,0,0
,,.literal.xt_set_interrupt_handler,4,4,0,0,0
,,.text.xt_int_has_handler,27,27,0,0,0
,,.text.xt_set_interrupt_handler,60,60,0,0,0
,xtensa_vectors.S,._invalid_pc_placeholder.text,3,0,3,0,0
,,.data,36,0,0,36,0
,,.DebugExceptionVector.text,6,0,6,0,0
,,.DoubleExceptionVector.text,14,0,14,0,0
,,.iram1,1506,0,0,1506,0
,,.iram1.literal,68,0,68,0,0
,,.KernelExceptionVector.text,6,0,6,0,0
,,.Level2InterruptVector.text,6,0,6,0,0
,,.Level3InterruptVector.text,6,0,6,0,0
,,.Level4InterruptVector.text,6,0,6,0,0
,,.Level5InterruptVector.text,6,0,6,0,0
,,.NMIExceptionVector.text,6,0,6,0,0
,,.rodata,48,0,0,0,48
,,.UserExceptionVector.text,6,0,6,0,0
,,.WindowVectors.text,362,0,362,0,0
libzmij-7caba6c958121204.rlib,zmij,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.1,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.10,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.11,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.12,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.13,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.14,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.15,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.16,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.17,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.18,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.2,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.22,12,0,0,0,12
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.23,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.24,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.25,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.26,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.27,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.28,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.29,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.3,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.30,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.31,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.32,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.33,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.34,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.35,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.36,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.37,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.38,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.39,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.4,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.40,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.41,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.42,3,0,0,0,3
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.44,3,0,0,0,3
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.46,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.5,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.6,16,0,0,0,16
,,.rodata..Lanon.b7acf7634d6f04d4edd06f63a17bd4b1.7,16,0,0,0,16
,,<core::ops::range::RangeInclusive<i32>>::contains::<i32>,38,38,0,0,0
,,<f64 as zmij::private::Sealed>::format_nonfinite,74,74,0,0,0
,,<f64 as zmij::private::Sealed>::write_to_zmij_buffer,1990,1990,0,0,0
,,<u64 as core::ops::arith::Add>::add,49,49,0,0,0
,,<u64 as core::ops::arith::Sub>::sub,65,65,0,0,0
,,<u64 as core::ops::bit::Shl<u8>>::shl,66,66,0,0,0
,,<zmij::Pow10SignificandsTable>::get_unchecked,89,89,0,0,0
,,zmij::compute_dec_exp,100,100,0,0,0
,,zmij::DIGITS2,200,0,0,0,200
,,zmij::do_compute_exp_shift,80,80,0,0,0
,,zmij::EXP_SHIFTS,2048,0,0,0,2048
,,zmij::POW10_SIGNIFICANDS,9920,0,0,0,9920
,,zmij::to_bcd8,222,222,0,0,0
,,zmij::to_decimal_schubfach::<u64>,619,619,0,0,0
,,zmij::umul192_hi128,198,198,0,0,0
,,zmij::umulhi_inexact_to_odd::<u64>,62,62,0,0,0
,,zmij::write_if,38,38,0,0,0
Total Result,,,1301832,936691,15524,56502,293115
